DBCODE,ENTITY,REACH,SERIES,TEST,DATANUM,DATE,TIME,CONCEN,MASSFLUX,DISCHARGE,TEMP
HF011,1,WS3,Early,1,1,4/21/2001,0,0,0,27.5,7.4
HF011,1,WS3,Early,1,2,4/21/2001,10,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,3,4/21/2001,15,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,4,4/21/2001,20,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,5,4/21/2001,25,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,6,4/21/2001,30,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,7,4/21/2001,35,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,8,4/21/2001,40,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,9,4/21/2001,45,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,10,4/21/2001,50,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,11,4/21/2001,55,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,12,4/21/2001,60,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,13,4/21/2001,65,0.01,0.33,27.5,7.4
HF011,1,WS3,Early,1,14,4/21/2001,70,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,15,4/21/2001,75,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,16,4/21/2001,80,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,17,4/21/2001,85,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,18,4/21/2001,90,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,19,4/21/2001,95,0.01,0.33,27.5,7.4
HF011,1,WS3,Early,1,20,4/21/2001,100,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,21,4/21/2001,105,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,22,4/21/2001,110,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,23,4/21/2001,115,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,24,4/21/2001,120,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,25,4/21/2001,125,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,26,4/21/2001,130,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,27,4/21/2001,135,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,28,4/21/2001,140,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,29,4/21/2001,145,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,30,4/21/2001,150,0.01,0.33,27.5,7.4
HF011,1,WS3,Early,1,31,4/21/2001,155,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,32,4/21/2001,160,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,33,4/21/2001,165,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,34,4/21/2001,170,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,35,4/21/2001,175,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,36,4/21/2001,180,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,37,4/21/2001,185,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,38,4/21/2001,190,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,39,4/21/2001,195,0.01,0.33,27.5,7.4
HF011,1,WS3,Early,1,40,4/21/2001,200,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,41,4/21/2001,205,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,42,4/21/2001,210,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,43,4/21/2001,215,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,44,4/21/2001,220,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,45,4/21/2001,225,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,46,4/21/2001,230,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,47,4/21/2001,235,0.01,0.22,27.5,7.4
